order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD253098,ID5402876198,2022-04-16,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 1)]",10180,64.923,-37.8203394,144.9773837,0,Autumn,False,0.71561,five stars exactly as promised.,True
ORD203248,ID2489014343,2022-01-31,Bakers,"[('Alcon 10', 2), ('Toshika 750', 1)]",22220,78.7,-37.7984899,144.9779754,25,Summer,True,1.98599,"great phone for me, this was the best phone. the battery started to weaken & needed a bigger screen.",True
ORD125848,ID1542137496,2022-09-19,Nickolson,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655,85.577,-37.8148609,144.9625497,0,Spring,True,0.74286,one star bought as new but received a refurbed phone.,False
ORD465604,ID2384091383,2022-02-09,Nickolson,"[('Olivia x460', 1), ('pearTV', 2), ('iStream', 2), ('iAssist Line', 1)]",16370,47.208,-37.8079354,144.97302919999996,25,Summer,False,1.22539,"the earlier models were so simple to use. no nonsense listing of books in it's library, by author or title. now there are big pictures with tiny lettering and lots of ads.",False
ORD160311,ID5232347245,2022-11-26,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('pearTV', 2)]",17800,97.776,-37.8117322,144.9483402,0,Spring,True,0.15321,,True
ORD273822,ID0373008467,2022-10-16,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 1), ('iAssist Line', 1)]",4680,91.042,-37.8020031,144.9813434,0,Spring,True,1.51121,two stars i don't like this product for the reason that it doesn't respond to my needs,False
ORD498583,ID3185718965,2022-08-17,Bakers,"[('pearTV', 2), ('Universe Note', 1), ('Candle Inferno', 1)]",16500,33.446,-37.7991923,144.98766609999996,50,Winter,False,1.37447,"five stars great device, but the color chosen was black and it is blue",True
ORD009404,ID4283908898,2022-10-06,Nickolson,"[('iAssist Line', 2), ('iStream', 1)]",4600,51.122,-37.8130163,144.97396650000005,50,Spring,True,0.73241,"and he loved it. it was a present, and he loved it.",True
ORD428663,ID0034633426,2022-05-16,Thompson,"[('iStream', 1), ('Alcon 10', 2)]",18050,64.434,-37.8068421,144.9542196,0,Autumn,False,0.90378,excellent excellent,True
ORD265155,ID0844484201,2022-01-25,Thompson,"[('Toshika 750', 1), ('iAssist Line', 2), ('Thunder line', 1)]",10950,95.181,-37.8204843,144.9493105,0,Summer,True,0.89157,"pretty good. thanks. despite this device is serviceable by pear anymore, it’s been great. the charge last so long.",True
