order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD064173,ID0582914901,2022-09-26,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 1)]",9070,103.994,-37.8369082,144.894564,25,Spring,True,5.34711,whodat cool daddy-o,True
ORD331771,ID0472236184,2022-07-16,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 1)]",3880,,-37.79896110000001,144.9665222,0,Winter,True,2.20176,i love olivia love this phone..works well looks good..functions well..great value,True
ORD403407,ID0575397935,2022-06-06,Nickolson,"[('Toshika 750', 1), ('pearTV', 2)]",16940,34.865,-37.8212343,144.98373769999995,50,Winter,False,1.28162,great phone extremely happy with the phone the speaker isn't great but hey it was a used phone i'm very pleased otherwise i'd recommend to anyone.,True
ORD400298,ID0575384675,2022-07-30,Nickolson,"[('Thunder line', 2), ('Toshika 750', 2), ('Universe Note', 2), ('iStream', 2)]",20200,39.068,-37.8193708,144.9818883,50,Winter,True,1.08831,good quality the phone was nice and compact,True
ORD442816,ID3208518296,2022-01-21,Nickolson,"[('iAssist Line', 2), ('Thunder line', 1), ('Candle Inferno', 2)]",7490,59.665,-37.8053714,144.9645721,25,Summer,False,1.53576,very nice phone! very nice phone!,True
ORD040107,ID0283334505,2022-11-16,Thompson,"[('Toshika 750', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",7405,105.217,-37.8006114,144.94998280000004,0,Spring,True,1.36692,love it! perfect for such $,True
ORD442238,ID0634784119,2022-10-25,Thompson,"[('Toshika 750', 1), ('Olivia x460', 2), ('Candle Inferno', 1), ('Lucent 330S', 1)]",8430,38.961,-37.81383320000001,144.9376909,50,Spring,False,0.83477,love it i love my phone. . it's everything and more.. plus it works since my olivia universe s2 stopped working ..thanks!,True
ORD031271,ID1449496101,2022-11-04,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1)]",11175,,-37.8239706,144.98478799999995,0,Spring,True,1.46738,great phone great phone!!! long life battery. beautiful design. very good purchase. love the camera,True
ORD282929,ID1449297305,2022-08-17,,"[('pearTV', 2), ('iStream', 2)]",12920,32.728,-37.8153946,144.9774634,50,Winter,False,0.7817,screen display not enought in the day i like this telephone but sreen quality not enough in the day.,True
ORD308486,ID0710018068,2022-12-22,Thompson,"[('Olivia x460', 2), ('Universe Note', 2), ('iAssist Line', 1)]",11575,94.404,-37.8151825,144.936401,0,Summer,True,0.97885,"excellent phone. excellent phone....love the picture quality. took it to an at & t store, and they had it going on my go phone plan in just a few minutes. happy!",True
ORD449945,ID0577522376,2022-03-28,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,48.469,-37.8231165,144.97087019999995,25,Autumn,False,0.51651,work it's ben working good,True
ORD444054,ID0294624701,2022-10-24,,"[('Universe Note', 2), ('Lucent 330S', 1)]",8130,97.635,-37.8190644,144.9648719,0,Spring,True,,wow - what a phone i had my lucentrola droid for years and thought i loved it - i did not know what love was. :-) i absolutely love this phone. it is taking the place of my computer on the road. works great on my verizon network.,True
ORD462331,ID0710041394,2022-11-23,Thompson,"[('Alcon 10', 2), ('Toshika 750', 2)]",26540,38.922,-37.811232,144.9354874,50,Spring,False,1.03108,"glad i bought it once i figure out the phone, it is great. the face of the phine is very sensitive so i recomment bluetooth also.",True
